1. Cronograma - Mentoria Estrategista Empresarial [Base];;;;;;;;;;;;;;;
Boas Vindas;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Analise de Maturidade do Colaborador;;Em Progresso;2023-02-13;2023-02-26;14;;4855449628;;;;;;;
;Estilo de Liderança;;Em Progresso;2023-02-13;2023-02-26;14;;4855449618;;;;;;;
;Perfil Comportamental;;Em Progresso;2023-02-20;2023-03-05;14;Conclusão Antecipada;4855449614;;;;;;;
;Conexão com Colaborador;;Concluído;2023-02-20;2023-03-05;14;Em Progresso;4855449608;;;;;;;
;Modelo de avaliação de desempenho;;Em Progresso;2023-02-20;2023-03-05;14;;4855449620;;;;;;;
;Teste de Delegação;;Em Progresso;2023-03-07;2023-03-13;7;;4855449624;;;;;;;
Gestão;Mapa da Equipe,Gestão Baseada em Valores,Planilha de Melhoria continua,Contrato de Resultados,Ranking de Colaboradores,Plano de Desenvolvimento Individual,Matriz de competências;Marcos Daniel;Aguardando;2023-02-20;2023-03-21;Aguardando;30;;;0%;;;;;4855449463
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Mapa da Equipe;;Em Progresso;;;;;4855449632;;;;;;;
;Gestão Baseada em Valores;;Em Progresso;;;;;4855449636;;;;;;;
;Planilha de Melhoria continua;;Em Progresso;;;;;4855449640;;;;;;;
;Contrato de Resultados;;Em Progresso;;;;;4855449644;;;;;;;
;Ranking de Colaboradores;;Em Progresso;;;;;4855449646;;;;;;;
;Plano de Desenvolvimento Individual;;Em Progresso;;;;;4855449648;;;;;;;
;Matriz de competências;;Em Progresso;;;;;4855449650;;;;;;;
Reunião Semanal;;Marcos Daniel;Aguardando;2023-03-27;2023-03-27;Aguardando;1;;;0%;;;;;4855449465
;;;;2023-02-06;2023-03-27;;4;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Encerramento;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Divulgue seu projeto;;Marcos Daniel;Aguardando;2023-03-30;2023-03-30;Aguardando;1;;;0%;;;;;4855449500
Pesquisa de Satisfação;;Marcos Daniel;Aguardando;2023-03-30;2023-03-30;Aguardando;1;;;0%;;;;;4855449521
;;;;2023-03-30;2023-03-30;;2;;00:00:00;0%;;;;;
